Contract,Version,Procurement Type,Description,Max Amt,Begin Dt,Expire Dt,Supplier,Dept,Agency Name,Contract Duration (Days),Vendor Frequency,Total Agency Spend,Risk Score,Risk Level
2117,1,EXI EXEMPT INTERLOCAL,DRD Transportation:BangerterHw,4000000,1/18/2019,12/31/2024,SOUTH JORDAN CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,30," $379,292,208.65 ",5,Medium Risk
2118,1,EXI EXEMPT INTERLOCAL,DRD Transportation:MultimodalH,347392.5,1/18/2019,12/31/2024,SALT LAKE CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,33," $379,292,208.65 ",5,Medium Risk
2120,1,EXI EXEMPT INTERLOCAL,DRD Transport:MultimodalCircul,993418.33,1/18/2019,12/31/2024,SALT LAKE CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,33," $379,292,208.65 ",7,High Risk
2120,2,EXI EXEMPT INTERLOCAL,DRD Transport:MultimodalCircul,993418.33,1/18/2019,12/31/2025,SALT LAKE CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2539,33," $379,292,208.65 ",7,High Risk
2122,1,EXI EXEMPT INTERLOCAL,DRD Transport:200STransitCorr,400000,1/18/2019,12/31/2024,SALT LAKE CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,33," $379,292,208.65 ",5,Medium Risk
2125,2,EXI EXEMPT INTERLOCAL,DRD Transport:U-111Realignment,8000000,1/18/2019,12/31/2024,HERRIMAN CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,33," $379,292,208.65 ",7,High Risk
2125,3,EXI EXEMPT INTERLOCAL,DRD Transport:U-111Realignment,8000000,1/18/2019,12/31/2025,HERRIMAN CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2539,33," $379,292,208.65 ",7,High Risk
2126,1,EXI EXEMPT INTERLOCAL,DRD Transport:AsphaltTrailMoun,325000,1/18/2019,12/31/2024,HERRIMAN CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,33," $379,292,208.65 ",5,Medium Risk
2127,1,EXI EXEMPT INTERLOCAL,DRD Transport:UncoverCulvert,1000000,1/18/2019,12/31/2024,SANDY CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,24," $379,292,208.65 ",5,Medium Risk
2128,1,EXI EXEMPT INTERLOCAL,DRD Transport:3900SUpgradeRdwa,4700000,1/18/2019,12/31/2024,HOLLADAY CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,19," $379,292,208.65 ",5,Medium Risk
2129,1,EXI EXEMPT INTERLOCAL,DRD Transport:PedActivatedCros,375000,1/18/2019,12/31/2024,MIDVALE CITY CORP,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,29," $379,292,208.65 ",3,Medium Risk
2131,1,EXI EXEMPT INTERLOCAL,DRD Transport:RightOfWayPurcha,730993,1/18/2019,12/31/2024,MURRAY CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,28," $379,292,208.65 ",5,Medium Risk
2132,1,EXI EXEMPT INTERLOCAL,DRD Transport:5LaneConcreteRdw,1000000,1/18/2019,12/31/2024,RIVERTON CITY CORP,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,21," $379,292,208.65 ",5,Medium Risk
2133,1,EXI EXEMPT INTERLOCAL,DRD Transport:RightofWayPurcha,500000,1/18/2019,12/31/2024,MURRAY CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2174,28," $379,292,208.65 ",5,Medium Risk
2134,1,EXO EXEMPT PILOT PROGRAM,LIB Janitorial Svcs WJLibrary,0,1/2/2019,12/28/2019,RBM SERVICES INC,2500000000,LIBRARY FUND,360,31," $302,993,516.62 ",2,Low Risk
2137,1,EXO EXEMPT OTHER,MAY State of New Americans Fun,1,1/30/2019,1/29/2029,THE COMMUNITY FOUNDATION OF UTAH,1020000000,MAYOR ADMINISTRATION,3652,4," $26,565,719.00 ",2,Low Risk
2138,1,CON LIB52351-1,LIB52351-1 New Library@ Kearns,9823114,1/30/2019,6/15/2021,R & O CONSTRUCTION COMPANY,2500000000,LIBRARY FUND,867,12," $302,993,516.62 ",2,Low Risk
2138,2,CON LIB52351-1,LIB52351-1 New Library@ Kearns,9959982.71,1/30/2019,6/15/2021,R & O CONSTRUCTION COMPANY,2500000000,LIBRARY FUND,867,12," $302,993,516.62 ",2,Low Risk
2140,1,EXI EXEMPT INTERLOCAL,DRD CorridorPres:Parcel1260W,13100,2/1/2019,1/31/2022,BLUFFDALE CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",1095,22," $379,292,208.65 ",5,Medium Risk
2142,1,EXO EXEMPT OTHER MEMBERSHIP,DRD- Local First Dues/MOU,18000,2/7/2019,3/29/2020,LOCAL FIRST UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",416,1," $379,292,208.65 ",2,Low Risk
2143,1,EXI EXEMPT INTERLOCAL,PAR NorthwestRecEvacShelter,1,2/1/2019,1/31/2024,SALT LAKE CITY SCHOOL DISTRICT,3630000000,PARKS,1825,18," $180,440,543.41 ",3,Medium Risk
2146,1,EXI EXEMPT INTERLOCAL,DRD CorridorPres6150WParkwayBl,68300,2/8/2019,2/10/2022,WEST VALLEY CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",1098,60," $379,292,208.65 ",5,Medium Risk
2147,1,EXO EXEMPT PILOT PROGRAM,LIB Janitorial Svcs DraperLib,34963.5,2/12/2019,12/31/2019,RBM SERVICES INC,2500000000,LIBRARY FUND,322,31," $302,993,516.62 ",2,Low Risk
2149,1,EXO EXEMPT UTILITY,PAR Power at WheelerFarm,0,2/13/2019,2/12/2024,ROCKY MOUNTAIN POWER,3630000000,PARKS,1825,33," $180,440,543.41 ",4,Medium Risk
2150,1,EXO EXEMPT,RE RightOfWayEasementWheeler,1,2/13/2019,2/12/2024,ROCKY MOUNTAIN POWER,3102000000,REAL ESTATE,1825,33," $2,666.00 ",3,Medium Risk
2152,1,EXO EXEMPT OTHER,FAC Stormwater Facilities Main,0,2/14/2019,2/13/2069,SOUTH JORDAN CITY,6300000000,FACILITIES SERVICES,18262,30," $8,792,208.80 ",2,Low Risk
2153,1,EXI EXEMPT INTERLOCAL,MAY-TRCC funds Cultural Arts F,2000000,2/14/2019,5/14/2020,WEST JORDAN CITY,1020000000,MAYOR ADMINISTRATION,455,25," $26,565,719.00 ",4,Medium Risk
2155,1,EXI EXEMPT INTERLOCAL,DRD Transport:1300 W Widening,3000000,2/14/2019,12/31/2024,WEST JORDAN CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2147,25," $379,292,208.65 ",6,High Risk
2155,2,EXI EXEMPT INTERLOCAL,DRD Transport:1300 W Widening,6000000,2/14/2019,12/31/2024,WEST JORDAN CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2147,25," $379,292,208.65 ",6,High Risk
2155,3,EXI EXEMPT INTERLOCAL,DRD Transport:1300 W Widening,6000000,2/14/2019,12/31/2027,WEST JORDAN CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",3242,25," $379,292,208.65 ",6,High Risk
2156,1,EXI EXEMPT INTERLOCAL,DRD Transport:LonePeakPkwyWide,1700000,2/14/2019,12/31/2024,DRAPER CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2147,19," $379,292,208.65 ",5,Medium Risk
2157,1,EXI EXEMPT INTERLOCAL,DRD Transport:BST Alignment,1967749,2/14/2019,12/31/2024,COTTONWOOD HEIGHTS,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2147,29," $379,292,208.65 ",7,High Risk
2157,2,EXI EXEMPT INTERLOCAL,DRD Transport:BST Alignment,1967749,2/14/2019,12/31/2025,COTTONWOOD HEIGHTS,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2512,29," $379,292,208.65 ",7,High Risk
2158,1,EXI EXEMPT INTERLOCAL,DRD Transport:PorterRockwell4&,2141616.28,2/14/2019,12/31/2024,BLUFFDALE CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2147,22," $379,292,208.65 ",7,High Risk
2161,1,EXP CJS55683,CJS Master LS-CMI Train Traine,11532,2/19/2019,8/19/2019,DEBORAH KOETZLE,2400000000,CRIMINAL JUSTICE SERVICES,181,1," $23,541.00 ",0,Low Risk
2170,1,EXI EXEMPT INTERLOCAL,DRD Free Fare Rides (2 days),25000,2/22/2019,7/31/2019,UTAH TRANSIT AUTHORITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",159,20," $379,292,208.65 ",2,Low Risk
2172,1,EXI EXEMPT INTERLOCAL,DRD Declining Water Levels Rpt,10000,2/28/2019,6/30/2019,STATE OF UTAH,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",122,106," $379,292,208.65 ",4,Medium Risk
2173,1,EXI EXEMPT INTERLOCAL,DRD Transport:InlandPortSB234,1500000,3/1/2019,12/31/2024,WEST VALLEY CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2132,60," $379,292,208.65 ",7,High Risk
2173,2,EXI EXEMPT INTERLOCAL,DRD Transport:InlandPortSB234,2000000,3/1/2019,12/31/2024,WEST VALLEY CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2132,60," $379,292,208.65 ",7,High Risk
2174,1,EXI EXEMPT INTERLOCAL,DRD Transport:InlandPortSB234,1500000,2/28/2019,12/31/2024,MAGNA TOWN COUNCIL,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2133,7," $379,292,208.65 ",5,Medium Risk
2175,1,EXO EXEMPT,PAR RightOfWayEasementDraperRe,1,3/1/2019,2/28/2029,ROCKY MOUNTAIN POWER,3630000000,PARKS,3652,33," $180,440,543.41 ",5,Medium Risk
2176,1,RFC SWM54951-1,SWM Mattress Recycling,0,3/1/2019,3/1/2024,SPRING BACK UTAH MATTRESS RECYCLING LLC,6100000000,CONTRACTS AND PROCUREMENT,1827,3, $-   ,3,Medium Risk
2176,2,RFC SWM54951-1,SWM Mattress Recycling,0,3/1/2019,4/30/2024,SPRING BACK UTAH MATTRESS RECYCLING LLC,6100000000,CONTRACTS AND PROCUREMENT,1887,3, $-   ,3,Medium Risk
2176,3,RFC SWM54951-1,SWM Mattress Recycling,0,3/1/2019,8/28/2024,SPRING BACK UTAH MATTRESS RECYCLING LLC,6100000000,CONTRACTS AND PROCUREMENT,2007,3, $-   ,3,Medium Risk
2178,1,RFP PAR6902 LANDSCAPEARCHPOOL,PAR EquestrianParkBarnImprovem,204305,3/5/2019,3/4/2020,G BROWN DESIGN INC,3630000000,PARKS,365,20," $180,440,543.41 ",3,Medium Risk
2178,2,RFP PAR6902 LANDSCAPEARCHPOOL,PAR EquestrianParkBarnImprovem,204305,3/5/2019,3/4/2021,G BROWN DESIGN INC,3630000000,PARKS,730,20," $180,440,543.41 ",3,Medium Risk
2178,3,RFP PAR6902 LANDSCAPEARCHPOOL,PAR EquestrianParkBarnImprovem,204305,3/5/2019,3/4/2022,G BROWN DESIGN INC,3630000000,PARKS,1095,20," $180,440,543.41 ",3,Medium Risk
2189,1,EXO EXEMPT,RE RightOfWayEasementDaybreak,1,3/19/2019,3/18/2024,ROCKY MOUNTAIN POWER,3102000000,REAL ESTATE,1826,33," $2,666.00 ",3,Medium Risk
2190,1,EXP DRD56729,DRD AgingInPlaceConsultCMS,40000,3/20/2019,11/19/2019,SALT LAKE VALLEY HABITAT FOR HUMANITY,1025000670,HOME,244,7," $3,956,521.05 ",1,Low Risk
2192,1,EXI EXEMPT INTERLOCAL,DRD Transport:StateStSafetyImp,4868175.37,3/22/2019,12/31/2024,SALT LAKE CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2111,33," $379,292,208.65 ",7,High Risk
2192,2,EXI EXEMPT INTERLOCAL,DRD Transport:StateStSafetyImp,4868175.37,3/22/2019,12/31/2025,SALT LAKE CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2476,33," $379,292,208.65 ",7,High Risk
2193,1,EXI EXEMPT INTERLOCAL,DRD Transport:StateStSafetyImp,4000000,3/22/2019,12/31/2024,SOUTH SALT LAKE CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2111,44," $379,292,208.65 ",5,Medium Risk
2193,2,EXI EXEMPT INTERLOCAL,DRD Transport:StateStSafetyImp,4000000,3/22/2019,12/31/2025,SOUTH SALT LAKE CITY,1025000000,"RGNL TRANS, HOUSNG & ECON DEV",2476,44," $379,292,208.65 ",5,Medium Risk
2197,1,EXI EXEMPT INTERLOCAL,PAR MormonPioneerTrailContribu,20000,3/27/2019,3/26/2021,SALT LAKE CITY,3630000000,PARKS,730,33," $180,440,543.41 ",3,Medium Risk
2200,1,EXI EXEMPT INTERLOCAL,PAR Dev BonnevilleShorelineTra,50000,3/28/2019,3/27/2022,HERRIMAN CITY,3630000000,PARKS,1095,33," $180,440,543.41 ",3,Medium Risk
2202,1,RFC PAR56784,PAR Golf Cart Parts/Repair,0,3/28/2019,3/28/2024,HIGHLAND GOLF,6100000000,CONTRACTS AND PROCUREMENT,1827,2, $-   ,0,Low Risk
2203,1,EXS LIB013119,LIB Patron Communications Svcs,0,3/28/2019,3/27/2024,UNIQUE MANAGEMENT SERVICES INC,2500000000,LIBRARY FUND,1826,5," $302,993,516.62 ",2,Low Risk
2203,2,EXS LIB013119,LIB Patron Communications Svcs,0,3/28/2019,3/27/2024,UNIQUE MANAGEMENT SERVICES INC,2500000000,LIBRARY FUND,1826,5," $302,993,516.62 ",2,Low Risk
2203,3,EXS LIB013119,LIB Patron Communications Svcs,0,3/28/2019,9/30/2024,UNIQUE MANAGEMENT SERVICES INC,2500000000,LIBRARY FUND,2013,5," $302,993,516.62 ",2,Low Risk
2205,1,RFC FAC56241,FAC RefrigerationSupplies&Equi,0,3/29/2019,3/28/2024,REFRIGERATION SUPPLIES DISTRIBUTOR,6100000000,CONTRACTS AND PROCUREMENT,1826,3, $-   ,1,Low Risk
2208,1,EXO EXEMPT OTHER,YS Employment Skills Refugee &,1,4/5/2019,4/4/2020,SPY HOP PRODUCTIONS,2100000000,YOUTH SERVICES DIVISION,365,31," $481,305.32 ",2,Low Risk
2209,1,RFC FAC56242,FAC VFD Parts and Service,0,4/8/2019,4/7/2024,REFRIGERATION SUPPLIES DISTRIBUTOR,6300006000,HVAC,1826,3, $-   ,0,Low Risk
2210,1,EXI EXEMPT INTERLOCAL,ANS Permits 2019 Petapalooza,0,4/8/2019,8/24/2019,WEST JORDAN CITY,4100000000,ANIMAL SERVICES,138,25," $280,584.76 ",2,Low Risk
2211,1,EXI EXEMPT INTERGOVERNMENTAL,ANS Permit 2019 Petapalooza,0,4/8/2019,8/24/2019,SALT LAKE COUNTY,4100000000,ANIMAL SERVICES,138,153," $280,584.76 ",2,Low Risk
2213,1,EXO EXEMPT CONTRIBUTION,MAY TRCC Funds AV/PA System Up,125000,4/10/2019,12/31/2019,DISCOVERY GATEWAY,1020000000,MAYOR ADMINISTRATION,265,13," $26,565,719.00 ",5,Medium Risk
2214,1,EXO EXEMPT ADVERTISING,ANS Digital Advertisements,5000,4/12/2019,8/25/2019,REAGAN OUTDOOR ADVERTISING,4100000000,ANIMAL SERVICES,135,4," $280,584.76 ",3,Medium Risk
2215,2,EXI EXEMPT INTERLOCAL,DRD Transport:TransitAlternati,400000,4/22/2019,12/31/2024,UTAH TRANSIT AUTHORITY,1038000000,REGIONAL TRANSPORTATN CHOICES,2080,20," $16,616,825.00 ",3,Medium Risk
2216,1,RFC - PAR56864,PAR-HockeyJerseysandSocks,0,4/24/2019,4/23/2021,K1 SPORTSWEAR CORPORATION,3640000000,RECREATION,730,5, $1.00 ,3,Medium Risk
2216,2,RFC - PAR56864,PAR-HockeyJerseysandSocks,0,4/24/2019,4/23/2022,K1 SPORTSWEAR CORPORATION,3640000000,RECREATION,1095,5, $1.00 ,3,Medium Risk
2216,3,RFC - PAR56864,PAR-HockeyJerseysandSocks,0,4/24/2019,4/23/2023,K1 SPORTSWEAR CORPORATION,3640000000,RECREATION,1460,5, $1.00 ,3,Medium Risk
2216,4,RFC - PAR56864,PAR-HockeyJerseysandSocks,0,4/24/2019,4/23/2024,K1 SPORTSWEAR CORPORATION,3640000000,RECREATION,1826,5, $1.00 ,3,Medium Risk
2218,1,EXI INTERLOCAL,MAY TRCC Utah Cultural Ctr,500000,4/25/2019,12/31/2019,WEST VALLEY CITY,1021000300,COMMUNITY SERVICES ADMIN,250,60," $30,539,793.00 ",2,Low Risk
2222,1,EXS EXEMPT SOLE SOURCE,ANS Canine&FelineFood@shelter,0,4/30/2019,4/29/2022,HILLS PET NUTRITION,4100000000,ANIMAL SERVICES,1095,3," $280,584.76 ",3,Medium Risk
2223,1,CON PAR57153,PAR Gene Fullmer Pool Renovati,362700,5/6/2019,8/4/2020,STALLINGS CONSTRUCTION INC,3630000000,PARKS,456,785," $180,440,543.41 ",2,Low Risk
2223,2,CON PAR57153,PAR Gene Fullmer Pool Renovati,362700,5/6/2019,8/30/2020,STALLINGS CONSTRUCTION INC,3630000000,PARKS,482,785," $180,440,543.41 ",2,Low Risk
2224,1,EXI EXEMPT INTERLOCAL,CJS Data Access with BCI,1,7/1/2019,6/30/2020,STATE OF UTAH,2400000000,CRIMINAL JUSTICE SERVICES,365,106," $23,541.00 ",2,Low Risk
2225,1,EXO EXEMPT CONTRIBUTION,MAY-TRCC FirstStageTheatreOutr,300000,5/7/2019,12/31/2021,U OF U PIONEER THEATRE COMPANY,1020000000,MAYOR ADMINISTRATION,969,14," $26,565,719.00 ",6,High Risk
2225,2,EXO EXEMPT CONTRIBUTION,MAY-TRCC FirstStageTheatreOutr,153854,5/7/2019,12/31/2020,U OF U PIONEER THEATRE COMPANY,1020000000,MAYOR ADMINISTRATION,604,14," $26,565,719.00 ",6,High Risk
2227,1,EXI EXEMPT INTERLOCAL,MAY TRCC Dog Park,100000,5/8/2019,12/31/2019,RIVERTON CITY CORP,1020000000,MAYOR ADMINISTRATION,237,21," $26,565,719.00 ",4,Medium Risk
2227,2,EXI EXEMPT INTERLOCAL,MAY TRCC Dog Park,100000,5/8/2019,12/31/2020,RIVERTON CITY CORP,1020000000,MAYOR ADMINISTRATION,603,21," $26,565,719.00 ",4,Medium Risk
2228,1,EXI EXEMPT INTERLOCAL,MAY TRCC Fish Pond Improvement,100000,5/8/2019,12/31/2019,RIVERTON CITY CORP,1020000000,MAYOR ADMINISTRATION,237,21," $26,565,719.00 ",4,Medium Risk
2228,2,EXI EXEMPT INTERLOCAL,MAY TRCC Fish Pond Improvement,100000,5/8/2019,12/31/2020,RIVERTON CITY CORP,1020000000,MAYOR ADMINISTRATION,603,21," $26,565,719.00 ",4,Medium Risk
2232,1,CON FAC57495,FAC ADC Water Heater Replaceme,73900,5/17/2019,9/5/2020,STALLINGS CONSTRUCTION INC,6300000000,FACILITIES SERVICES,477,785," $8,792,208.80 ",2,Low Risk
2232,2,CON FAC57495,FAC ADC Water Heater Replaceme,74899.72,5/17/2019,7/31/2020,STALLINGS CONSTRUCTION INC,6300000000,FACILITIES SERVICES,441,785," $8,792,208.80 ",2,Low Risk
2233,1,EXI INTERLOCAL,MAY TRCC AV Upgrade UCCC,250000,5/17/2019,12/31/2019,WEST VALLEY CITY,1021000300,COMMUNITY SERVICES ADMIN,228,60," $30,539,793.00 ",0,Low Risk
2235,1,RFP ART56571,ART Eccles Holiday Installatio,35000,5/21/2019,11/22/2020,TOOZA DESIGN LLC,3500000000,SLCO ARTS AND CULTURE,551,4," $12,034,449.72 ",0,Low Risk
2237,1,EXO EXEMPT SMALL COST,PAR Geotechnical Oquirrh Regio,3200,5/21/2019,5/20/2020,APPLIED GEOTECHNICAL ENGINEERING CONSULT,3630000000,PARKS,365,3," $180,440,543.41 ",4,Medium Risk
2237,2,EXO EXEMPT SMALL COST,PAR Geotechnical Oquirrh Regio,3200,5/21/2019,5/20/2021,APPLIED GEOTECHNICAL ENGINEERING CONSULT,3630000000,PARKS,730,3," $180,440,543.41 ",4,Medium Risk
2240,1,EXI EXEMPT INTERLOCAL,PAR Tennis Center Rental,0,5/23/2019,6/30/2019,UNIVERSITY OF UTAH,3630000000,PARKS,38,92," $180,440,543.41 ",2,Low Risk
2241,1,EXO STATE CONTRACT AR233,IS Cisco Equip & Maintenance,1285405.24,5/24/2019,5/23/2022,KEY GOVERNMENT FINANCE INC,6050000000,INFORMATION TECHNOLOGY,1095,1," $3,590,060.29 ",2,Low Risk
2250,1,RFP PAR6902 POOL,PAR SLCo RegionalTrailsMasterP,81495,6/6/2019,12/31/2020,ENVIRONMENTAL PLANNING GROUP  LLC,3630000000,PARKS,574,6," $180,440,543.41 ",3,Medium Risk
2251,1,EXI EXEMPT INTERLOCAL,ORD CorridorPresFundsAcquirePr,666184,6/13/2019,6/12/2022,WEST JORDAN CITY,1033000000,CORRIDOR PRESERVATION,1095,25," $15,342,352.00 ",5,Medium Risk
2252,1,EXI EXEMPT INTERLOCAL,PAR-BST Construction Collectio,79729.34,6/18/2019,6/30/2024,USDA FOREST SERVICE,3630000000,PARKS,1839,10," $180,440,543.41 ",3,Medium Risk
2255,1,RFP PAR6902 LANDSCAPEARCHPOOL,PAR JR Water Trail Portages De,63478.24,6/20/2019,7/31/2020,BIO-WEST INC,3630000000,PARKS,407,29," $180,440,543.41 ",2,Low Risk
2256,1,RFP PAR6902 LANDSCAPEARCHPOOL,PAR JRP East Side Trail,165735.4,6/24/2019,12/31/2020,BIO-WEST INC,3630000000,PARKS,556,29," $180,440,543.41 ",2,Low Risk
2257,1,EXO EXEMPT OTHER,CLP Copier Purchase,3499.99,6/14/2019,7/31/2019,CANON SOLUTIONS AMERICA INC,3510000000,CLARK PLANETARIUM,47,4," $3,152,556.19 ",3,Medium Risk
2258,1,EXI EXEMPT INTERLOCAL,AGS 4th of July Parade Sign-up,1,6/27/2019,7/4/2019,MAGNA TOWN COUNCIL,2300000000,AGING AND ADULT SERVICES,7,7," $4,409,811.00 ",2,Low Risk
2266,1,EXI EXEMPT INTERLOCAL,MAY TRCC Murray Theater Restor,3636500,7/3/2019,12/31/2019,MURRAY CITY,1020000000,MAYOR ADMINISTRATION,181,28," $26,565,719.00 ",4,Medium Risk
2266,2,EXI EXEMPT INTERLOCAL,MAY TRCC Murray Theater Restor,3636500,7/3/2019,5/14/2020,MURRAY CITY,1020000000,MAYOR ADMINISTRATION,316,28," $26,565,719.00 ",4,Medium Risk
2268,1,EXO EXEMPT OTHER,PAR Youth Garden Club,1,6/10/2019,8/16/2019,WASATCH COMMUNITY GARDENS,3630000000,PARKS,67,12," $180,440,543.41 ",2,Low Risk
2272,1,RFP RE58247,REL Real Estate Appraisal Svcs,1,7/18/2019,10/31/2024,FREE & ASSOCIATES,3102000000,REAL ESTATE,1932,1," $2,666.00 ",0,Low Risk
2273,1,RFP RE58247,REL Real Estate Appraisal Svcs,1,7/18/2019,10/31/2024,INTEGRA REALTY RESOURCES - SLC,3102000000,REAL ESTATE,1932,1," $2,666.00 ",0,Low Risk
2274,1,EXI EXEMPT INTERLOCAL,MAY Accelerated Capstone MPA,1,7/19/2019,11/30/2019,UNIVERSITY OF UTAH,1020001601,DATA & INNOVATION,134,92, $1.00 ,2,Low Risk
2276,1,EXI EXEMPT INTERLOCAL,PAR WJ Athletic Field Use 19,0,7/26/2019,10/31/2019,WEST JORDAN CITY,3630000000,PARKS,97,25," $180,440,543.41 ",2,Low Risk
2277,1,RFP PAR57325,PAR Landcape Architectural Poo,1,7/26/2019,7/31/2024,ENVIRONMENTAL PLANNING GROUP  LLC,3630000000,PARKS,1832,6," $180,440,543.41 ",2,Low Risk
2277,2,RFP PAR57325,PAR Landcape Architectural Poo,24001.9,7/26/2019,7/31/2024,ENVIRONMENTAL PLANNING GROUP  LLC,3630000000,PARKS,1832,6," $180,440,543.41 ",2,Low Risk
2277,3,RFP PAR57325,PAR Landcape Architectural Poo,23861.9,7/26/2019,7/31/2024,ENVIRONMENTAL PLANNING GROUP  LLC,3630000000,PARKS,1832,6," $180,440,543.41 ",2,Low Risk
